Status,Hostname,Type,Internal IP,Windows Update Server,Site,OS,Patch Status,AV Status,Last Seen,Last Reboot,Model,Groups
Offline,Cynthias-MBP.socal.rr.com,Laptop,192.168.79.47,,"Sanders Roberts LLP ",macOS 14.4.1,,Not Detected,2024-12-15T05:19:42Z,2024-09-28T02:43:57Z,"MacBookPro16,3",
Offline,DESKTOP-1UI65GD,Desktop,172.16.119.177,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 10 Enterprise 10.0.19045,Reboot Required,Running And Up To Date,2024-11-12T17:27:20Z,2024-09-11T23:06:12Z,NUC7i5BNH,
Online,DESKTOP-F8RLLLK,Desktop,192.168.1.250,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 10 Pro 10.0.19045,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-17T03:34:38Z,HP ProDesk 600 G3 SFF,
Offline,DESKTOP-UKQNCHI,Laptop,192.168.1.49,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Install Error,Running And Up To Date,2025-01-21T18:46:11Z,2025-01-17T08:38:49Z,20Q00044US,
Offline,Feltons-MacBook-Pro.attlocal.net,Laptop,192.168.1.224,,"Sanders Roberts LLP ",macOS 13.0.1,,Not Detected,2024-12-23T17:55:03Z,2024-12-12T09:02:58Z,"MacBookAir9,1",
Online,mac,Laptop,192.168.86.25,,"Sanders Roberts LLP ",macOS 15.2,,Not Detected,2025-01-22T06:37:44Z,2025-01-15T18:10:53Z,"Mac15,12",
Offline,MacBook-Pro-7.attlocal.net,Laptop,192.168.1.79,,"Sanders Roberts LLP ",macOS 12.6.8,,Not Detected,2025-01-22T05:35:47Z,2025-01-14T19:14:11Z,"MacBookPro16,1",
Offline,Matthews-MBP,Laptop,192.168.1.245,,"Sanders Roberts LLP ",macOS 14.4.1,,Not Detected,2024-11-18T22:16:13Z,2024-10-15T16:36:42Z,"MacBookPro18,3",
Offline,MELVINs-MacBook-Pro,Laptop,192.168.4.198,,"Sanders Roberts LLP ",macOS 15.1.1,,Not Detected,2025-01-17T23:33:44Z,2025-01-07T06:11:26Z,"MacBookPro16,2",
Offline,Reggies-MacBook-Pro,Laptop,192.168.6.177,,"Sanders Roberts LLP ",macOS 14.5,,Not Detected,2025-01-22T06:18:51Z,2024-06-25T16:04:24Z,"Mac14,9",
Online,Reginalds-iMac-3,Desktop,10.10.20.203,,"Sanders Roberts LLP ",macOS 13.7.1,,Not Detected,2025-01-22T06:37:44Z,2024-12-02T16:24:17Z,"iMac18,3",
Offline,Samanthas-MacBook-Pro-2,Laptop,192.168.0.103,,"Sanders Roberts LLP ",macOS 12.7.5,,Not Detected,2025-01-22T05:23:20Z,2025-01-15T17:49:34Z,"MacBookPro17,1",
Online,SRLA-DT002,Desktop,10.20.10.4,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 10 Pro 10.0.19045,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-16T20:24:48Z,HP ENVY TE01-1xxx,
Offline,SRLA-DT011,Desktop,10.10.10.125,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22621,Fully Patched,Running And Up To Date,2025-01-22T01:44:37Z,2024-12-26T19:42:27Z,HP ENVY TE01-1xxx,
Online,SRLA-DT018,Desktop,10.10.20.190,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 10 Pro 10.0.19045,Reboot Required,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-10T18:06:11Z,XPS 8930,
Online,SRLA-DT019,Desktop,192.168.1.199,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 10 Pro 10.0.19045,Reboot Required,Running And Up To Date,2025-01-22T06:37:44Z,2024-12-21T01:09:45Z,XPS 8920,
Online,SRLA-DT048,Desktop,10.133.38.106,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-14T20:10:04Z,30H00015US,
Offline,SRLA-LT002,Laptop,10.10.20.146,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22621,Approved Pending,Running And Up To Date,2024-12-04T00:01:10Z,2024-12-04T00:00:15Z,20TD001NUS,
Offline,SRLA-LT005,Laptop,10.10.20.130,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T02:09:42Z,2025-01-19T17:49:38Z,20TA002CUS,
Offline,SRLA-LT013,Laptop,10.10.20.169,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-22T01:01:55Z,2025-01-21T19:42:21Z,20TA002CUS,
Online,SRLA-LT015,Laptop,192.168.1.196,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-16T23:22:45Z,20TA002CUS,
Online,SRLA-LT017,Laptop,10.10.20.148,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Install Error,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-17T05:00:34Z,20R5A000US,
